Temp,Vdd,fcnt_nd_slvt,fcnt_nd_lvt,fcnt_nd_rvt,fcnt_inv_slvt,fcnt_inv_lvt,fcnt_inv_rvt,fcnt_nr_slvt,fcnt_nr_lvt,fcnt_nr_rvt,fcnt_egu,fcnt_egv,fcnt_eg
-20,0.6,3.914e-11,4.895e-11,7.917e-11,7.724e-12,9.854e-12,1.35e-11,3.54e-11,4.606e-11,6.231e-11,5.179e-10,5.072e-10,5.079e-10
-15,0.6,3.882e-11,4.854e-11,7.829e-11,7.694e-12,9.81e-12,1.342e-11,3.496e-11,4.545e-11,6.174e-11,5.177e-10,5.069e-10,5.085e-10
-10,0.6,3.849e-11,4.812e-11,7.74e-11,7.664e-12,9.767e-12,1.335e-11,3.452e-11,4.484e-11,6.116e-11,5.174e-10,5.065e-10,5.089e-10
-5,0.6,3.815e-11,4.768e-11,7.65e-11,7.634e-12,9.723e-12,1.327e-11,3.409e-11,4.423e-11,6.056e-11,5.17e-10,5.061e-10,5.093e-10
0,0.6,3.781e-11,4.724e-11,7.561e-11,7.604e-12,9.679e-12,1.319e-11,3.365e-11,4.362e-11,5.995e-11,5.166e-10,5.056e-10,5.096e-10
5,0.6,3.747e-11,4.679e-11,7.47e-11,7.575e-12,9.634e-12,1.311e-11,3.321e-11,4.302e-11,5.932e-11,5.161e-10,5.05e-10,5.099e-10
10,0.6,3.712e-11,4.633e-11,7.38e-11,7.545e-12,9.59e-12,1.303e-11,3.277e-11,4.241e-11,5.867e-11,5.155e-10,5.044e-10,5.101e-10
15,0.6,3.677e-11,4.586e-11,7.288e-11,7.516e-12,9.546e-12,1.295e-11,3.233e-11,4.18e-11,5.8e-11,5.149e-10,5.037e-10,5.102e-10
20,0.6,3.641e-11,4.538e-11,7.197e-11,7.487e-12,9.502e-12,1.287e-11,3.189e-11,4.12e-11,5.731e-11,5.143e-10,5.03e-10,5.103e-10
25,0.6,3.606e-11,4.491e-11,7.104e-11,7.458e-12,9.458e-12,1.279e-11,3.146e-11,4.059e-11,5.661e-11,5.136e-10,5.023e-10,5.102e-10
30,0.6,3.57e-11,4.442e-11,7.011e-11,7.429e-12,9.413e-12,1.271e-11,3.103e-11,3.998e-11,5.588e-11,5.129e-10,5.015e-10,5.102e-10
35,0.6,3.535e-11,4.394e-11,6.918e-11,7.401e-12,9.369e-12,1.262e-11,3.062e-11,3.937e-11,5.514e-11,5.121e-10,5.007e-10,5.1e-10
40,0.6,3.499e-11,4.346e-11,6.824e-11,7.373e-12,9.325e-12,1.254e-11,3.02e-11,3.877e-11,5.439e-11,5.113e-10,4.998e-10,5.099e-10
45,0.6,3.464e-11,4.297e-11,6.73e-11,7.345e-12,9.281e-12,1.245e-11,2.98e-11,3.818e-11,5.361e-11,5.104e-10,4.989e-10,5.096e-10
50,0.6,3.428e-11,4.249e-11,6.637e-11,7.315e-12,9.236e-12,1.237e-11,2.94e-11,3.759e-11,5.283e-11,5.095e-10,4.98e-10,5.093e-10
55,0.6,3.393e-11,4.2e-11,6.543e-11,7.287e-12,9.192e-12,1.229e-11,2.9e-11,3.701e-11,5.205e-11,5.085e-10,4.97e-10,5.09e-10
60,0.6,3.358e-11,4.152e-11,6.45e-11,7.26e-12,9.148e-12,1.22e-11,2.862e-11,3.644e-11,5.126e-11,5.076e-10,4.96e-10,5.086e-10
65,0.6,3.323e-11,4.104e-11,6.357e-11,7.231e-12,9.105e-12,1.211e-11,2.823e-11,3.587e-11,5.048e-11,5.066e-10,4.95e-10,5.082e-10
70,0.6,3.289e-11,4.055e-11,6.264e-11,7.204e-12,9.061e-12,1.203e-11,2.786e-11,3.532e-11,4.97e-11,5.055e-10,4.939e-10,5.077e-10
75,0.6,3.255e-11,4.007e-11,6.172e-11,7.177e-12,9.017e-12,1.194e-11,2.749e-11,3.476e-11,4.893e-11,5.044e-10,4.928e-10,5.072e-10
80,0.6,3.221e-11,3.96e-11,6.081e-11,7.151e-12,8.974e-12,1.186e-11,2.712e-11,3.422e-11,4.816e-11,5.033e-10,4.917e-10,5.066e-10
85,0.6,3.187e-11,3.912e-11,5.99e-11,7.123e-12,8.931e-12,1.177e-11,2.677e-11,3.368e-11,4.74e-11,5.022e-10,4.905e-10,5.06e-10
90,0.6,3.154e-11,3.865e-11,5.9e-11,7.096e-12,8.888e-12,1.168e-11,2.641e-11,3.314e-11,4.665e-11,5.01e-10,4.893e-10,5.053e-10
95,0.6,3.121e-11,3.818e-11,5.811e-11,7.07e-12,8.845e-12,1.16e-11,2.607e-11,3.262e-11,4.591e-11,4.998e-10,4.881e-10,5.046e-10
100,0.6,3.088e-11,3.772e-11,5.722e-11,7.043e-12,8.804e-12,1.151e-11,2.573e-11,3.21e-11,4.518e-11,4.985e-10,4.868e-10,5.039e-10
105,0.6,3.056e-11,3.726e-11,5.634e-11,7.016e-12,8.762e-12,1.143e-11,2.539e-11,3.158e-11,4.446e-11,4.973e-10,4.855e-10,5.031e-10
110,0.6,3.025e-11,3.68e-11,5.546e-11,6.99e-12,8.721e-12,1.134e-11,2.506e-11,3.107e-11,4.375e-11,4.96e-10,4.842e-10,5.023e-10
115,0.6,2.994e-11,3.635e-11,5.459e-11,6.964e-12,8.68e-12,1.125e-11,2.473e-11,3.056e-11,4.305e-11,4.946e-10,4.829e-10,5.015e-10
120,0.6,2.963e-11,3.59e-11,5.373e-11,6.938e-12,8.639e-12,1.117e-11,2.442e-11,3.006e-11,4.236e-11,4.933e-10,4.816e-10,5.006e-10
125,0.6,2.932e-11,3.546e-11,5.288e-11,6.912e-12,8.599e-12,1.108e-11,2.411e-11,2.956e-11,4.168e-11,4.919e-10,4.802e-10,4.996e-10
