Temp,Vdd,fcnt_nd_slvt,fcnt_nd_lvt,fcnt_nd_rvt,fcnt_inv_slvt,fcnt_inv_lvt,fcnt_inv_rvt,fcnt_nr_slvt,fcnt_nr_lvt,fcnt_nr_rvt,fcnt_egu,fcnt_egv,fcnt_eg
-20,0.6,6.88e-11,9.65e-11,1.91e-10,1.29e-11,1.8e-11,2.95e-11,6.98e-11,1.04e-10,1.62e-10,1.42e-09,1.44e-09,1.46e-09
-15,0.6,6.84e-11,9.56e-11,1.88e-10,1.28e-11,1.79e-11,2.92e-11,6.89e-11,1.02e-10,1.6e-10,1.41e-09,1.42e-09,1.44e-09
-10,0.6,6.79e-11,9.47e-11,1.86e-10,1.27e-11,1.78e-11,2.88e-11,6.81e-11,1.01e-10,1.58e-10,1.39e-09,1.4e-09,1.42e-09
-5,0.6,6.75e-11,9.38e-11,1.83e-10,1.27e-11,1.76e-11,2.85e-11,6.72e-11,9.94e-11,1.56e-10,1.37e-09,1.39e-09,1.41e-09
0,0.6,6.7e-11,9.29e-11,1.8e-10,1.26e-11,1.75e-11,2.82e-11,6.63e-11,9.8e-11,1.54e-10,1.36e-09,1.37e-09,1.39e-09
5,0.6,6.65e-11,9.2e-11,1.78e-10,1.25e-11,1.74e-11,2.79e-11,6.55e-11,9.65e-11,1.52e-10,1.34e-09,1.36e-09,1.38e-09
10,0.6,6.6e-11,9.11e-11,1.75e-10,1.25e-11,1.73e-11,2.75e-11,6.46e-11,9.51e-11,1.5e-10,1.33e-09,1.34e-09,1.36e-09
15,0.6,6.55e-11,9.02e-11,1.72e-10,1.24e-11,1.71e-11,2.72e-11,6.37e-11,9.38e-11,1.48e-10,1.31e-09,1.33e-09,1.35e-09
20,0.6,6.5e-11,8.93e-11,1.7e-10,1.24e-11,1.7e-11,2.69e-11,6.29e-11,9.24e-11,1.46e-10,1.3e-09,1.31e-09,1.34e-09
25,0.6,6.45e-11,8.83e-11,1.67e-10,1.23e-11,1.69e-11,2.66e-11,6.21e-11,9.11e-11,1.44e-10,1.28e-09,1.3e-09,1.32e-09
30,0.6,6.4e-11,8.74e-11,1.65e-10,1.22e-11,1.68e-11,2.63e-11,6.12e-11,8.97e-11,1.43e-10,1.27e-09,1.28e-09,1.31e-09
35,0.6,6.35e-11,8.65e-11,1.62e-10,1.22e-11,1.66e-11,2.6e-11,6.04e-11,8.84e-11,1.41e-10,1.25e-09,1.27e-09,1.3e-09
40,0.6,6.3e-11,8.56e-11,1.6e-10,1.21e-11,1.65e-11,2.57e-11,5.96e-11,8.71e-11,1.4e-10,1.24e-09,1.25e-09,1.28e-09
45,0.6,6.24e-11,8.47e-11,1.57e-10,1.2e-11,1.64e-11,2.54e-11,5.88e-11,8.58e-11,1.38e-10,1.23e-09,1.24e-09,1.27e-09
50,0.6,6.19e-11,8.38e-11,1.55e-10,1.2e-11,1.63e-11,2.51e-11,5.8e-11,8.45e-11,1.36e-10,1.21e-09,1.23e-09,1.26e-09
55,0.6,6.13e-11,8.29e-11,1.52e-10,1.19e-11,1.62e-11,2.48e-11,5.72e-11,8.32e-11,1.35e-10,1.2e-09,1.21e-09,1.24e-09
60,0.6,6.08e-11,8.2e-11,1.5e-10,1.18e-11,1.6e-11,2.45e-11,5.64e-11,8.19e-11,1.33e-10,1.19e-09,1.2e-09,1.23e-09
65,0.6,6.02e-11,8.11e-11,1.48e-10,1.18e-11,1.59e-11,2.43e-11,5.56e-11,8.06e-11,1.31e-10,1.17e-09,1.19e-09,1.22e-09
70,0.6,5.97e-11,8.02e-11,1.45e-10,1.17e-11,1.58e-11,2.4e-11,5.48e-11,7.93e-11,1.29e-10,1.16e-09,1.17e-09,1.21e-09
75,0.6,5.91e-11,7.93e-11,1.43e-10,1.17e-11,1.57e-11,2.37e-11,5.41e-11,7.8e-11,1.27e-10,1.15e-09,1.16e-09,1.19e-09
80,0.6,5.85e-11,7.84e-11,1.41e-10,1.16e-11,1.56e-11,2.34e-11,5.33e-11,7.68e-11,1.25e-10,1.13e-09,1.15e-09,1.18e-09
85,0.6,5.8e-11,7.75e-11,1.39e-10,1.15e-11,1.55e-11,2.32e-11,5.26e-11,7.55e-11,1.23e-10,1.12e-09,1.14e-09,1.17e-09
90,0.6,5.74e-11,7.66e-11,1.37e-10,1.15e-11,1.54e-11,2.29e-11,5.18e-11,7.43e-11,1.21e-10,1.11e-09,1.13e-09,1.16e-09
95,0.6,5.68e-11,7.57e-11,1.35e-10,1.14e-11,1.53e-11,2.27e-11,5.11e-11,7.31e-11,1.2e-10,1.1e-09,1.11e-09,1.15e-09
100,0.6,5.62e-11,7.48e-11,1.32e-10,1.13e-11,1.51e-11,2.24e-11,5.04e-11,7.19e-11,1.18e-10,1.09e-09,1.1e-09,1.14e-09
105,0.6,5.56e-11,7.39e-11,1.3e-10,1.13e-11,1.5e-11,2.21e-11,4.97e-11,7.07e-11,1.16e-10,1.08e-09,1.09e-09,1.13e-09
110,0.6,5.51e-11,7.3e-11,1.28e-10,1.12e-11,1.49e-11,2.19e-11,4.9e-11,6.95e-11,1.14e-10,1.07e-09,1.08e-09,1.12e-09
115,0.6,5.45e-11,7.21e-11,1.26e-10,1.12e-11,1.48e-11,2.17e-11,4.83e-11,6.84e-11,1.13e-10,1.05e-09,1.07e-09,1.11e-09
120,0.6,5.39e-11,7.12e-11,1.24e-10,1.11e-11,1.47e-11,2.14e-11,4.76e-11,6.72e-11,1.11e-10,1.04e-09,1.06e-09,1.1e-09
125,0.6,5.34e-11,7.03e-11,1.22e-10,1.1e-11,1.46e-11,2.12e-11,4.7e-11,6.61e-11,1.09e-10,1.03e-09,1.05e-09,1.09e-09
130,0.6,5.28e-11,6.95e-11,1.2e-10,1.1e-11,1.45e-11,2.09e-11,4.63e-11,6.5e-11,1.07e-10,1.02e-09,1.04e-09,1.08e-09
-20,0.62,6.32e-11,8.66e-11,1.65e-10,1.2e-11,1.65e-11,2.57e-11,6.4e-11,9.28e-11,1.38e-10,1.24e-09,1.25e-09,1.27e-09
-15,0.62,6.28e-11,8.59e-11,1.63e-10,1.2e-11,1.64e-11,2.55e-11,6.33e-11,9.16e-11,1.37e-10,1.23e-09,1.24e-09,1.26e-09
-10,0.62,6.24e-11,8.52e-11,1.61e-10,1.19e-11,1.63e-11,2.52e-11,6.26e-11,9.04e-11,1.35e-10,1.22e-09,1.23e-09,1.25e-09
