Temp,Vdd,fcnt_nd_slvt,fcnt_nd_lvt,fcnt_nd_rvt,fcnt_inv_slvt,fcnt_inv_lvt,fcnt_inv_rvt,fcnt_nr_slvt,fcnt_nr_lvt,fcnt_nr_rvt,fcnt_egu,fcnt_egv,fcnt_eg
-20,0.6,5.158e-11,6.751e-11,1.182e-10,9.863e-12,1.309e-11,1.888e-11,4.915e-11,6.862e-11,9.622e-11,7.873e-10,7.873e-10,7.801e-10
-15,0.6,5.123e-11,6.696e-11,1.168e-10,9.821e-12,1.302e-11,1.875e-11,4.852e-11,6.762e-11,9.531e-11,7.839e-10,7.839e-10,7.779e-10
-10,0.6,5.088e-11,6.641e-11,1.154e-10,9.777e-12,1.295e-11,1.862e-11,4.789e-11,6.662e-11,9.439e-11,7.804e-10,7.804e-10,7.756e-10
-5,0.6,5.051e-11,6.585e-11,1.14e-10,9.734e-12,1.288e-11,1.849e-11,4.728e-11,6.562e-11,9.344e-11,7.769e-10,7.769e-10,7.732e-10
0,0.6,5.014e-11,6.528e-11,1.126e-10,9.691e-12,1.281e-11,1.836e-11,4.668e-11,6.462e-11,9.247e-11,7.734e-10,7.734e-10,7.708e-10
5,0.6,4.975e-11,6.471e-11,1.112e-10,9.648e-12,1.274e-11,1.823e-11,4.609e-11,6.364e-11,9.15e-11,7.698e-10,7.698e-10,7.683e-10
10,0.6,4.936e-11,6.414e-11,1.098e-10,9.606e-12,1.267e-11,1.809e-11,4.551e-11,6.268e-11,9.052e-11,7.662e-10,7.662e-10,7.657e-10
15,0.6,4.896e-11,6.355e-11,1.084e-10,9.563e-12,1.26e-11,1.796e-11,4.493e-11,6.173e-11,8.953e-11,7.626e-10,7.626e-10,7.631e-10
20,0.6,4.855e-11,6.296e-11,1.071e-10,9.522e-12,1.253e-11,1.782e-11,4.437e-11,6.079e-11,8.854e-11,7.589e-10,7.589e-10,7.604e-10
25,0.6,4.814e-11,6.237e-11,1.057e-10,9.48e-12,1.246e-11,1.768e-11,4.38e-11,5.987e-11,8.755e-11,7.552e-10,7.552e-10,7.576e-10
30,0.6,4.772e-11,6.177e-11,1.043e-10,9.437e-12,1.239e-11,1.755e-11,4.324e-11,5.895e-11,8.655e-11,7.516e-10,7.516e-10,7.549e-10
35,0.6,4.729e-11,6.116e-11,1.03e-10,9.396e-12,1.232e-11,1.741e-11,4.268e-11,5.805e-11,8.554e-11,7.478e-10,7.478e-10,7.521e-10
40,0.6,4.685e-11,6.054e-11,1.016e-10,9.355e-12,1.224e-11,1.727e-11,4.213e-11,5.718e-11,8.454e-11,7.441e-10,7.441e-10,7.492e-10
45,0.6,4.641e-11,5.992e-11,1.003e-10,9.312e-12,1.217e-11,1.713e-11,4.157e-11,5.632e-11,8.353e-11,7.404e-10,7.404e-10,7.464e-10
50,0.6,4.597e-11,5.929e-11,9.893e-11,9.271e-12,1.21e-11,1.699e-11,4.102e-11,5.548e-11,8.251e-11,7.366e-10,7.366e-10,7.435e-10
55,0.6,4.553e-11,5.866e-11,9.759e-11,9.228e-12,1.203e-11,1.686e-11,4.047e-11,5.465e-11,8.149e-11,7.329e-10,7.329e-10,7.406e-10
60,0.6,4.509e-11,5.802e-11,9.626e-11,9.186e-12,1.196e-11,1.672e-11,3.992e-11,5.382e-11,8.046e-11,7.292e-10,7.292e-10,7.377e-10
65,0.6,4.465e-11,5.738e-11,9.493e-11,9.144e-12,1.189e-11,1.658e-11,3.938e-11,5.301e-11,7.942e-11,7.255e-10,7.255e-10,7.348e-10
70,0.6,4.42e-11,5.673e-11,9.361e-11,9.101e-12,1.183e-11,1.644e-11,3.884e-11,5.22e-11,7.837e-11,7.218e-10,7.218e-10,7.318e-10
75,0.6,4.376e-11,5.608e-11,9.229e-11,9.06e-12,1.176e-11,1.631e-11,3.832e-11,5.139e-11,7.731e-11,7.181e-10,7.181e-10,7.288e-10
80,0.6,4.332e-11,5.544e-11,9.097e-11,9.018e-12,1.169e-11,1.617e-11,3.78e-11,5.059e-11,7.623e-11,7.144e-10,7.144e-10,7.259e-10
